Museum_Location,Registration Nr.,Length_Left_Maxillae,Length_Right_Maxillae,Rostrum_Length, Condylobasal_Length ,Width_Occipital_Condyles,Year,Location,Country,Sex,Size (cm),Weight (kg),Life stage,Notes,,,
London,2021.805,21.779,22.172,8.914,22.032,7.600,1923,Hemsby beach,United Kingdom,NA,NA,NA,NA,,,,
London,1865.10.9.23,20.515,20.878,9.559,21.358,6.847,NA,NA,NA,NA,NA,NA,NA,,,,
London,1846.12.15.6,18.595,18.496,8.770,23.771,5.256,1846,NA,United Kingdom,NA,NA,NA,NA,purchased in 1846,,,
London,1867.4.12.204,22.495,22.876,10.645,27.678,6.004,1867,Lidth de Jeude,Holland,NA,NA,NA,NA,purchased in 1897,,,
London,1897.7.30.1,19.050,19.518,9.624,22.037,7.289,NA,"Monterey Bay, California",US,NA,NA,NA,NA,,,,
London,1841.1.12.14,21.522,21.358,9.309,22.322,6.606,NA,NA,NA,NA,NA,NA,NA,,,,
London,1868.3.19.4,24.131,24.330,11.951,25.146,7.474,1868,Vancouver Island,Canada,NA,NA,NA,NA,purchased in 1868,,,
London,S.W.1916-18,19.795,19.569,9.057,22.095,7.877,NA,"Skinningrove, Yorkshire",United Kingdom,NA,NA,NA,NA,,,,
London,S.W.1916-4,NA,18.220,9.010,21.710,7.164,1916,"Montrose, Forfar",United Kingdom,NA,NA,NA,NA,left maxilla is gone (skull incomplete),,,
London,1992.265,17.488,NA,8.839,19.167,5.760,1927,Cullercoats,United Kingdom,M,NA,NA,NA,right maxilla gone,,,
London,S.W.1929.13,21.247,21.399,9.938,23.593,6.937,1929,"Lowestrost, Suffolk",United Kingdom,F,NA,NA,NA,,,,
London,1.29.4.25,20.518,20.493,9.254,21.182,6.826,NA,NA,NA,NA,NA,NA,NA,,,,
London,S.W.1926-29,23.224,23.471,10.628,22.659,7.305,NA,"South shields, Durham",United Kingdom,F,NA,NA,NA,,,,
London,1961.5.29.1,20.297,19.772,9.403,22.401,7.006,NA,"20 miles east of Muckle Flugga, Shetlands",Scotland,NA,NA,NA,NA,,,,
London,1992.263,17.893,17.543,8.578,18.782,5.605,1912,NA,NA,M,111.76 ,NA,NA,,,,
London,SW.1954-15,21.104,21.067,9.651,21.364,7.074,1954,"Seaham, Durham",United Kingdom,NA,172.72 ,NA,NA,,,,
London,SW.1928-49,24.202,24.430,11.116,24.409,7.785,1928,"Greencastle, Antrim",United Kingdom,M,NA,NA,NA,,,,
London,1981.910,17.342,15.651,7.321,17.543,5.883,NA,"Bay of Creekland, Hoy, Orkney Island",Scotland,NA,NA,NA,NA,"right maxilla damaged, probably larger",,,
London,1965.3.30.1,22.699,22.189,9.803,22.036,6.766,1960,"Mablethorpe, Lincolnshire",United Kingdom,F,NA,NA,NA,,,,
