registration_number;genus;species;length;width;average;year;notes
NH:2008.85.699.1;Physeter;macrocephalus;16.7;6;no;NA;Scrimshaw (archaeological object)
NH:2008.85.699.2;Physeter;macrocephalus;16.3;7.3;no;NA;Complete
NH:1941.27.1;Physeter;macrocephalus;14;6.6;no;1939;Complete
NH:2008.85.135;Physeter;macrocephalus;7.8;2.3;no;NA;Very curved, sectioned
NH:2008.85.135.2;Physeter;macrocephalus;10.7;2.9;no;NA;Complete
NH:2008.85.698;Tursiops;truncatus;2.6;0.8;no;NA;Complete
NH:2008.85.698;Tursiops;truncatus;2.9;0.8;no;NA;Complete
NH:2008.85.698;Tursiops;truncatus;2.8;0.8;no;NA;Complete
NH:1878.441.2;Physeter;macrocephalus;12.7;8.5;no;1878;Sectioned, weathered, misses enamel, southern ocean
NH:1938.45.3;Physeter;macrocephalus;11.1;3.8;no;NA;Antartic
NH:1889.165.1;Physeter;macrocephalus;9.8;4.2;no;NA;Black, scratches on backside, sticker in front
NH:2008.85.142;Physeter;macrocephalus;18.6;7.1;no;NA;Complete
NH:1938.167.1;Physeter;macrocephalus;16.9;5.2;no;1870;Complete
NH:1934.86.1;Physeter;macrocephalus;17;7.7;no;NA;Complete, weathered surface, could be (sub)fossil
NH:1927.79.1;Physeter;macrocephalus;16.9;7.9;no;NA;Complete, weathered (color and scratches), enamel missing
NH:1909.286.2;Physeter;macrocephalus;16.5;4;no;1909;Slightly weathered, enamel might be compromised due to dental wear
NH:1909.286.1;Physeter;macrocephalus;16.6;5.7;no;1909;Complete
NH:1969.1.1;Physeter;macrocephalus;8.5;2.5;no;1968;Part around the enamel is missing
NH:1969.1.1;Physeter;macrocephalus;6.7;3;no;1968;Complete, enamel slightely damaged
NH:1969.1.1;Physeter;macrocephalus;7.5;2.1;no;1968;Complete, enamel slightely damaged, big scratches on back side
NH:1969.1.1;Physeter;macrocephalus;7.4;2.4;no;1968;Complete, scratches
NH:1969.1.1;Physeter;macrocephalus;7.9;2.5;no;1968;Complete, scratches
NH:1969.1.1;Physeter;macrocephalus;7.5;2.4;no;1968;Complete
NH:1979.253.1;Physeter;macrocephalus;17.6;7.9;no;NA;Complete
NH:2008.85.746;Ziphius;cavirostris;4.9;1;no;NA;Sharp tip
NH:2008.85.746;Ziphius;cavirostris;4.8;1.2;no;NA;Sharp tip
NH:2009.79.1;Phocoena;phocoena;0.9;0.15;yes;NA;Average measurement of ~70 mandibular teeth
NH:1945.23.2;Globicephala;mephas;2.2;0.8;no;1945;Heavily damaged, missing large parts
NH:1945.23.2;Globicephala;mephas;2.5;0.9;no;1945;Heavily damaged, missing large parts
NH:1945.23.2;Globicephala;mephas;3;0.9;no;1945;Complete
NH:1945.23.2;Globicephala;mephas;1.6;0.5;no;1945;Complete
NH:1945.23.2;Globicephala;mephas;2.6;0.7;no;1945;Heavily damaged, missing large part
NH:1945.23.2;Globicephala;mephas;3.1;1;no;1945;Heavily damaged, missing large parts, tip is intact
NH:1945.23.2;Globicephala;mephas;1.3;0.5;no;1945;Sectioned, weathered
NH:1945.23.2;Globicephala;mephas;1.4;0.5;no;1945;Complete
NH:1958.3.1/2/3;Globicephala;mephas;NA;NA;NA;NA;15 teeth still in jaw, no measurement can be taken
NH:1999.16.1;Stenella;coeruleoalba;1.5;0.3;no;NA;Intact, discolored
NH:1999.16.1;Stenella;coeruleoalba;1.4;0.3;no;NA;Complete
NH:1999.16.1;Stenella;coeruleoalba;1.4;0.3;no;NA;Complete
NH:1999.16.1;Stenella;coeruleoalba;1.5;0.3;no;NA;Complete
NH:1901.483.1;Lagenorhynchus;albirostris;1.8;0.5;no;1901;Average measurement of ~40 teeth, good condition, associated with skeleton.
NH:1901.483.1;Lagenorhynchus;albirostris;2.5;0.5;no;1901;Complete
NH:1901.483.1;Lagenorhynchus;albirostris;2.3;0.5;no;1901;Complete
NH:1901.483.1;Lagenorhynchus;albirostris;2.5;0.5;no;1901;Complete
NH:1901.483.1;Lagenorhynchus;albirostris;2.8;0.5;no;1901;Complete
NH:2008.85.6;Globicephala;mephas;NA;NA;NA;NA;Skull with upper jaw and 21 teeth, lower jaw 13 teeth, no measurement can be taken
NH:1987.24.1;Delphinus;delphis;1.1;0.25;no;1985;Skull with upper and lower jaw, ~75 teeth.Few teeth detached from skull, not glued, good condition
NH:1966.18.1;Lagenorhynchus;acutus;NA;NA;NA;1966;Skull with upper jaw and lower jaw, 60 teeth, glued, good condition, no measurement can be taken
NH:1890.135.1;Lagenorhynchus;acutus;NA;NA;NA;1890;~60 teeth from lower jaw, good condition, no measurement taken
;;;;;;;
;;;;;;;
