source;source_type;source_code;genus;species;common_name;type;count;date;period;town;country;number;sampling_allowed;notes;
Ecomare Texel (ECO);email;ECO;Phocoena;phocoena;Harbor porpoise;teeth;;NA;recent stranding;;Netherlands;NA;NA;few;
Ecomare Texel (ECO);email;ECO;Physeter;macrocephalus;Sperm whale;teeth;;NA;recent stranding;;Netherlands;NA;NA;NA;
Ecomare Texel (ECO);email;ECO;Physeter;macrocephalus;Sperm whale;teeth;;NA;recent whaling;;Antarctic;NA;NA;NA;
Ecomare Texel (ECO);email;ECO;Orcinus;orca;Killer whale;teeth;;NA;recent stranding;;Netherlands;NA;NA;NA;
Ecomare Texel (ECO);email;ECO;Lagenorhynchus;albirostris;White-beaked dolphin;teeth;;NA;recent stranding;;Netherlands;NA;NA;NA;
Ecomare Texel (ECO);email;ECO;Lagenorhynchus;acutus;White-sided dolphin;teeth;;NA;recent stranding;;Netherlands;NA;NA;NA;
Ecomare Texel (ECO);email;ECO;Tursiops;truncatus;Bottlenose dolphin;teeth;;NA;recent stranding;;Netherlands;NA;NA;NA;
Ecomare Texel (ECO);email;ECO;Delphinus;delphis;Common dolphin;teeth;;NA;recent stranding;;Netherlands;NA;NA;NA;
Ecomare Texel (ECO);email;ECO;Mesoplodon;bidens;Cuvier's beaked dolphin;teeth;;NA;recent stranding;;Netherlands;NA;NA;NA;
Rotterdam Natural History Museum (NHMR);email;NHMR;Physeter;macrocephalus;Sperm whale;teeth;;NA;Holocene;;NA;NA;NA;could be more recent (few hundred years);
Rotterdam Natural History Museum (NHMR);email;NHMR;Ancestor of Physeter;NA;NA;NA;;NA;Pleistocene;;NA;NA;NA;teeth?;
Rotterdam Natural History Museum (NHMR);email;NHMR;Delphinapteras;leucas;Beloega;teeth;;NA;Late Pleistocene;;NA;NA;NA;partly dated;
Universiteitsmuseum Utrecht (UMU);email;UMU;Physeter;macrocephalus;Sperm whale;tooth;1;NA;fossil;;NA;NA;NA;fossil (old) but age and location not known;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skull;;1883;NA;Fenian;Ireland;NH:1945.28.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skeleton;;NA;NA;;NA;NH:2008.85.143;NA;NA;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skeleton;;1966;recent stranding;Ballycotton;Ireland;NH:1999.13.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skeleton;;NA;recent bycatch;Rush;Ireland;NH:2009.79.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skeleton;;NA;recent stranding;Dingle;Ireland;NH:1999.15.1;Yes;head bones only?;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skull;;2001;recent stranding;Balbriggan strand;Ireland;NH:2001.51.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skull;;1984;recent bycatch;Isle of Man;United Kingdom;NH:1984.154.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Phocoena;phocoena;Harbor porpoise;skull;;1985;recent stranding;Cork;Ireland;NH:1985.76;Yes;NA;
National Museum Ireland (NMI);email;NMI;Physeter;macrocephalus;Sperm whale;tooth;1;NA;recent;;Southern Ocean;NH:1878.441.1;NA;NA;
National Museum Ireland (NMI);email;NMI;Physeter;macrocephalus;Sperm whale;teeth;;NA;recent;;Antarctic;NH:1938.45.1;Yes;NA;
National Museum Ireland (NMI);email;NMI;Physeter;macrocephalus;Sperm whale;teeth;;NA;recent;;Antarctic;NH:1938.45.2;Yes;NA;
National Museum Ireland (NMI);email;NMI;Physeter;macrocephalus;Sperm whale;tooth;1;NA;NA;;NA;NH:1889.165.1;NA;hollowed out;
National Museum Ireland (NMI);email;NMI;Physeter;macrocephalus;Sperm whale;tooth;1;NA;whaling;;Ireland;NH:1909.286.1;Yes;black;
National Museum Ireland (NMI);email;NMI;Physeter;macrocephalus;Sperm whale;tooth;1;NA;whaling;;Ireland;NH:1909.286.2;Yes;white;
National Museum Ireland (NMI);email;NMI;Physeter;macrocephalus;Sperm whale;tooth;1;NA;NA;;NA;NH:1927.79.1;NA;NA;
